medium	description	compound	name
SDMM	Sourdough minimal medium	h	H+
SDMM	Sourdough minimal medium	k	Potassium
SDMM	Sourdough minimal medium	mg2	Magnesium
SDMM	Sourdough minimal medium	mn2	Manganese
SDMM	Sourdough minimal medium	na1	Sodium 
SDMM	Sourdough minimal medium	ni2	Ni2+
SDMM	Sourdough minimal medium	pi	Phosphate 
SDMM	Sourdough minimal medium	so4	Sulfate
SDMM	Sourdough minimal medium	ca2	Calcium
SDMM	Sourdough minimal medium	cl	Chloride
SDMM	Sourdough minimal medium	zn2	Zinc
SDMM	Sourdough minimal medium	cu2	Copper
SDMM	Sourdough minimal medium	cobalt2	Co2+
SDMM	Sourdough minimal medium	mobd	Molybdate
SDMM	Sourdough minimal medium	fe2	Fe2+
SDMM	Sourdough minimal medium	fe3	Fe3+
SDMM	Sourdough minimal medium	co2	CO2
SDMM	Sourdough minimal medium	o2	O2 
SDMM	Sourdough minimal medium	nh4	Ammonia 
SDMM	Sourdough minimal medium	h2o	H2O
SDMM	Sourdough minimal medium	glc__D	D-Glucose
SDMM	Sourdough minimal medium	malt	Maltose
SDMM	Sourdough minimal medium	malttr	Maltotriose 
SDMM	Sourdough minimal medium	man	D-Mannose
SDMM	Sourdough minimal medium	isomal	Isomaltose
SDMM	Sourdough minimal medium	maltttr	Maltotetraose 
SDMM	Sourdough minimal medium	maltpt	Maltopentaose 
SDMM	Sourdough minimal medium	fru	D-Fructose
SDMM	Sourdough minimal medium	amylopect900	Amylopectin (n=900 repeat units, alpha-1,4-glc)
SDMM	Sourdough minimal medium	amylose300	Amylose (n=300 repeat units, alpha-1,4-glc)
SDMM	Sourdough minimal medium	amylose	Amylose
SDMM	Sourdough minimal medium	cell500	Cellulose (n=500 repeating units, beta-1,4 glc)
SDMM	Sourdough minimal medium	cell6	Cellulose (n=6 repeating units) 
SDMM	Sourdough minimal medium	cell4	Cellulose (n=4 repeating units) 
SDMM	Sourdough minimal medium	starch	Starch 
SDMM	Sourdough minimal medium	strch2	Starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]}) 
SDMM	Sourdough minimal medium	strch1	Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})
SDMM	Sourdough minimal medium	starch1200	Starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potato starch)
SDMM	Sourdough minimal medium	bglc	beta glucans
SDMM	Sourdough minimal medium	hdcea	Hexadecenoate (n-C16:1)
SDMM	Sourdough minimal medium	ocdcya	Octadecynoate (n-C18:2)
SDMM	Sourdough minimal medium	ocdcea	Octadecenoate (n-C18:1)
SDMM	Sourdough minimal medium	lnlncg	Gamma-linolenic acid
SDMM	Sourdough minimal medium	lnlnca	Alpha-Linolenic acid
SDMM	Sourdough minimal medium	gln__L	L-Glutamine
SDMM	Sourdough minimal medium	pro__L	L-Proline
SDMM	Sourdough minimal medium	leu__L	L-Leucine
