gene,protein,reaction,model
G_ABAYE_RS01830,P_ABAYE_RS01830,R_HCO3E,iCN718
G_ABAYE_RS14015,P_ABAYE_RS14015,R_HCO3E,iCN718
G_ABAYE_RS07335,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510,R_CYTBD,iCN718
G_ABAYE_RS07340,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510,R_CYTBD,iCN718
G_ABAYE_RS07345,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510,R_CYTBD,iCN718
G_ABAYE_RS07350,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510,R_CYTBD,iCN718
G_ABAYE_RS07355,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510,R_CYTBD,iCN718
G_ABAYE_RS08505,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510,R_CYTBD,iCN718
G_ABAYE_RS08510,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS08505+ABAYE_RS08510,R_CYTBD,iCN718
G_ABAYE_RS07335,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265,R_CYTBD,iCN718
G_ABAYE_RS07340,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265,R_CYTBD,iCN718
G_ABAYE_RS07345,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265,R_CYTBD,iCN718
G_ABAYE_RS07350,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265,R_CYTBD,iCN718
G_ABAYE_RS07355,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265,R_CYTBD,iCN718
G_ABAYE_RS11260,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265,R_CYTBD,iCN718
G_ABAYE_RS11265,P_ABAYE_RS07335+ABAYE_RS07340+ABAYE_RS07345+ABAYE_RS07350+ABAYE_RS07355+ABAYE_RS11260+ABAYE_RS11265,R_CYTBD,iCN718
G_ABAYE_RS08080,P_ABAYE_RS08080,R_NO3R2,iCN718
G_ABAYE_RS18235,P_ABAYE_RS18235,R_PPA,iCN718
G_ABAYE_RS13985,P_ABAYE_RS13985,R_PPK,iCN718
