model	gene	annotation
iYO844	BSU36850	http://identifiers.org/interpro/IPR002146
iYO844	BSU36850	http://identifiers.org/interpro/IPR005864
iYO844	BSU36850	http://identifiers.org/interpro/IPR028987
iYO844	BSU36850	http://identifiers.org/subtilist/BG10817
iYO844	BSU36850	http://identifiers.org/goa/P37814
iYO844	BSU07840	http://identifiers.org/interpro/IPR004843
iYO844	BSU07840	http://identifiers.org/interpro/IPR006146
iYO844	BSU07840	http://identifiers.org/interpro/IPR006179
iYO844	BSU07840	http://identifiers.org/interpro/IPR008334
iYO844	BSU07840	http://identifiers.org/interpro/IPR019931
iYO844	BSU07840	http://identifiers.org/interpro/IPR029052
iYO844	BSU07840	http://identifiers.org/subtilist/BG12930
iYO844	BSU07840	http://identifiers.org/pdb/3GVE
iYO844	BSU07840	http://identifiers.org/goa/O34313
iYO844	BSU16730	http://identifiers.org/interpro/IPR006140
iYO844	BSU16730	http://identifiers.org/interpro/IPR014215
iYO844	BSU16730	http://identifiers.org/interpro/IPR016040
iYO844	BSU16730	http://identifiers.org/subtilist/BG10781
iYO844	BSU16730	http://identifiers.org/pdb/2RIR
iYO844	BSU16730	http://identifiers.org/goa/Q04809
iYO844	BSU16740	http://identifiers.org/interpro/IPR003382
iYO844	BSU16740	http://identifiers.org/interpro/IPR014214
iYO844	BSU16740	http://identifiers.org/subtilist/BG10782
iYO844	BSU16740	http://identifiers.org/goa/Q04810
iYO844	BSU36830	http://identifiers.org/interpro/IPR000194
iYO844	BSU36830	http://identifiers.org/interpro/IPR000793
iYO844	BSU36830	http://identifiers.org/interpro/IPR004100
iYO844	BSU36830	http://identifiers.org/interpro/IPR005294
iYO844	BSU36830	http://identifiers.org/interpro/IPR020003
iYO844	BSU36830	http://identifiers.org/interpro/IPR023366
iYO844	BSU36830	http://identifiers.org/interpro/IPR027417
iYO844	BSU36830	http://identifiers.org/subtilist/BG10819
iYO844	BSU36830	http://identifiers.org/goa/P37808
iYO844	BSU36800	http://identifiers.org/interpro/IPR001469
iYO844	BSU36800	http://identifiers.org/interpro/IPR020546
iYO844	BSU36800	http://identifiers.org/interpro/IPR020547
iYO844	BSU36800	http://identifiers.org/subtilist/BG10822
iYO844	BSU36800	http://identifiers.org/goa/P37812
iYO844	BSU36820	http://identifiers.org/interpro/IPR000131
